village,latitude,longitude
Bommanahalli,15.1681187,74.7104023
Ambikanagar,15.1228078,74.6607177
Hillur,14.6609886,74.4727779
Torke,14.55904,74.3534478
Kuruvangi,13.3160787,75.8160809
Aggadalu,13.1923035,75.7756644
Gendehalli,13.1839836,75.7577528
Hiremagaluru,13.3057305,75.7956901
Bikanahalli,13.3400321,75.801092
Kartikere,13.2918867,75.8091696
Hampapura,13.346207,75.7885184
Teguru,13.2931614,75.7708179
,12.5078389,76.9648547
Konanahalli,12.5325436,76.8671899
Sunagahalli,12.5102408,76.9555038
Dambadahalli,13.2833349,75.7093123
Markala,17.9694165,77.4978775
Kadawada,17.8209653,77.430598
Ashtur,17.9160511,77.5669654
Malkapura,17.8944863,77.5657123
Sultanpura,17.8856955,77.5810678
Gadagi,17.9505606,77.5440728
Narayanapura,17.858409,76.9736405
Korlakatta,14.6159404,74.9616364
Hosakoppa,14.6519135,75.0076639
Andagi,14.6121314,75.0125453
Belekeri,14.6762162,75.0119266
Dasanakoppa,14.6948225,75.012435
Jumanala,16.7549692,75.7312401
,16.5113419,75.5000897
Chikka Galagali,16.4249219,75.4448102
Masuti,16.5077816,75.7847969
Hirur,16.5366083,76.2473403
Sasanuru,16.5925155,76.2585533
Chabanura,16.614038,76.2318776
Tumbagi,16.5791235,76.2893763
Chikka Sindagi,16.8898866,76.2173166
Jalawada,16.7689079,76.151758
Korawara,16.7534259,76.2129128
Kokatanura,16.8270266,76.1895621
Shirola,16.3940094,75.2648468
Navalagi,16.4618146,75.1804108
Siddapura,16.4548738,75.2839408
Belagali,16.3854369,75.1494941
Kulali,16.3959369,75.2236603
Yallati,16.4909979,75.1595213
Hipparagi,16.5550961,75.1697788
Hosura,16.4666917,75.1124552
Hunnur,16.5114073,75.2604204
Mughalkhod,16.376844,75.2073056
Kulahalli,16.5256993,75.1644513
Golabhavi,16.4578844,75.0457712
Handigunda,16.4121291,75.0505256
Hittinahalli,16.7477396,75.7514074
Yavagala,15.7039222,75.5210112
Sulla,15.4488033,75.1767798
Ganjigatti,15.1934211,75.066475
Arekurahatti,15.5174072,75.3152315
Nulvi,15.2718981,75.1663385
Gabbur,15.3132794,75.1376632
Ingalahalli,15.4131199,75.3046903
Mishrikoti,15.2477508,75.057741
Adaragunchi,15.282952,75.1559301
Kanakura,15.5078226,75.1034851
Vanahalli,15.5120684,75.1367892
Amaragol,15.3992432,75.0875767
Hallihala,15.3171249,75.2045113
Sivalli,15.4693612,75.1397876
Yerebudihala,15.2048908,75.3812332
Dandikoppa,15.4639376,75.0433148
Kamadolli,15.2052385,75.2551453
Honnihalli,15.2387372,75.0054213
Devarahubballi,15.3961558,74.9251613
Nigadi,15.3938867,74.9436926
Navalur,15.4309743,75.0430119
Dori,15.4255895,74.7966086
Gundolli,15.249787,74.7772017
Bassapura,15.6048413,74.7725733
Teragaon,15.3707497,74.7626394
Kakkeri,15.4853482,74.7169908
Mangalawada,15.3603083,74.7442213
Madhanabhavi,15.5906172,74.8558145
Madakikoppa,15.4612788,74.8072329
Mangalagatti,15.5439238,74.9635646
Koppa,12.4453651,75.9744971
Kotumachagi,15.5359685,75.7769383
Nagavi,15.3619111,75.6101414
Basapura,15.4760507,75.3804282
Lingadala,15.5834328,75.5513898
Bhadrapura,15.389728,75.3882163
Kalasapura,15.3829955,75.6252561
Hatalageri,15.4191306,75.6877955
Malligavada,15.4841226,74.9528882
Hire Malligavada,15.4850618,74.9594015
Mammigatti,15.508642,74.9441132
Sulage,15.7652197,74.5166041
Honaga,15.9513416,74.5177194
Kalloli,16.2650979,74.8702044
Bastawad,15.8097529,74.5597333
Kakati,15.9326725,74.5255528
Dhamne,15.7955282,74.5434979
Yelluru,15.779896,74.5205738
Negalala,13.5730278,77.1290542
Tovinakere,13.5394712,77.0844997
Mallekavu,13.5658864,77.1935832
Bendone,13.5653911,77.1687105
Tumbadi,13.5686732,77.2368959
Holavanahalli,13.5317065,77.3024547
Mavatturu,13.4500883,77.3325872
Kadalaveni,13.600334,77.4651753
Hosuru,13.5849774,77.436873
Allipura,13.4886858,77.4578593
Bevinahalli,13.494225,77.4822079
Taridalu,13.4837572,77.439693
Devarayanadurga,13.3726702,77.2075933
Sawalagi,17.3479511,76.7314727
Kadaganchi,17.443693,76.6594239
Bhimalli,17.4263191,76.7448939
Chaudapura,17.2345059,76.5532495
Devala Ganagapura,17.1809261,76.534451
Havanuru,17.2499298,76.6842099
Bidanuru,17.2103185,76.6679609
Jamaga,17.4430351,76.7976721
Chinchanasura,17.5198408,76.7854149
Pattana,17.4084196,76.721342
Sultanpura,17.3837662,76.822312
Narona,17.5158915,76.7185306
Keri Abalaga,17.4848449,76.759094
Ravura,17.0884048,77.0030409
Ivani,17.2096233,77.0626356
Mahagaon,17.5214439,76.9154978
Sasargaon,17.4969999,77.2138534
Ainapura,17.615214,77.2203097
Kallahipparaga,17.4138255,77.0445763
Kamakanura,17.3985552,77.0342182
